E_eV,Sig_b
1e-05,46.2144
1.03125e-05,45.5457
1.0625e-05,44.9072
1.09375e-05,44.2967
1.125e-05,43.7124
1.15625e-05,43.1524
1.1875e-05,42.6151
1.21875e-05,42.099
1.25e-05,41.6028
1.28125e-05,41.1252
1.3125e-05,40.6652
1.375e-05,39.7937
1.4375e-05,38.9811
1.5e-05,38.221
1.5625e-05,37.5082
1.625e-05,36.838
1.6875e-05,36.2064
1.75e-05,35.61
1.8125e-05,35.0455
1.875e-05,34.5105
1.9375e-05,34.0023
2e-05,33.5189
2.09375e-05,32.8363
2.1875e-05,32.1995
2.28125e-05,31.6039
2.375e-05,31.0452
2.46875e-05,30.5199
2.5625e-05,30.025
2.65625e-05,29.5576
2.75e-05,29.1153
2.84375e-05,28.6961
2.9375e-05,28.2981
3.03125e-05,27.9196
3.125e-05,27.5592
3.21875e-05,27.2154
3.3125e-05,26.8871
3.40625e-05,26.5731
3.5e-05,26.2726
3.59375e-05,25.9846
3.6875e-05,25.7083
3.78125e-05,25.443
3.875e-05,25.188
4.0625e-05,24.7063
4.25e-05,24.259
4.4375e-05,23.8422
4.625e-05,23.4528
4.8125e-05,23.0882
5e-05,22.7457
5.15625e-05,22.4759
5.3125e-05,22.2191
5.46875e-05,21.9742
5.625e-05,21.7405
5.78125e-05,21.5172
5.9375e-05,21.3036
6.09375e-05,21.099
6.25e-05,20.9028
6.5625e-05,20.5337
6.875e-05,20.1927
7.1875e-05,19.8764
7.5e-05,19.5822
7.8125e-05,19.3078
8.125e-05,19.0513
8.4375e-05,18.8109
8.75e-05,18.585
9.0625e-05,18.3724
9.375e-05,18.172
9.6875e-05,17.9826
0.0001,17.8034
0.000103125,17.6336
0.00010625,17.4724
0.000109375,17.3192
0.0001125,17.1734
0.00011875,16.902
0.000125,16.6544
0.00013125,16.4277
0.0001375,16.2192
0.00014375,16.027
0.00015,15.8491
0.00015625,15.6839
0.0001625,15.5303
0.00016875,15.387
0.000175,15.253
0.00018125,15.1275
0.0001875,15.0096
0.00019375,14.8987
0.0002,14.7942
0.000209375,14.6484
0.00021875,14.5142
0.000228125,14.3903
0.0002375,14.2756
0.000246875,14.1691
0.00025625,14.07
0.000265625,13.9775
0.000275,13.891
0.00029375,13.7339
0.0003125,13.595
0.00033125,13.4712
0.00035,13.3603
0.00036875,13.2604
0.0003875,13.1699
0.00040625,13.0877
0.000425,13.0125
0.00044375,12.9436
0.0004625,12.8802
0.0005,12.7676
0.00053125,12.6857
0.0005625,12.6129
0.00059375,12.5477
0.000625,12.489
0.00065625,12.4359
0.0006875,12.3875
0.00075,12.3029
0.0008125,12.2314
0.000875,12.17
0.0009375,12.1168
0.001,12.0703
0.0010625,12.0292
0.001125,11.9927
0.0011875,11.96
0.00125,11.9306
0.001375,11.8798
0.0015,11.8375
0.001625,11.8017
0.00175,11.771
0.001875,11.7444
0.002,11.7211
0.0021875,11.6911
0.002375,11.6659
0.0025625,11.6444
0.00275,11.6258
0.0029375,11.6096
0.003125,11.5953
0.0035,11.5714
0.003875,11.5521
0.00425,11.5361
0.004625,11.5228
0.005,11.5115
0.005625,11.4959
0.00625,11.4835
0.006875,11.4733
0.0075,11.4649
0.008125,11.4577
0.00875,11.4515
0.01,11.4416
0.01125,11.4338
0.0125,11.4276
0.01375,11.4225
0.015,11.4182
0.01625,11.4146
0.0175,11.4116
0.02,11.4066
0.02265,11.4025
0.0253,11.3992
0.0274227,11.3971
0.0295453,11.3952
0.0337906,11.3923
0.0380359,11.3899
0.0422812,11.3881
0.0461406,11.3867
0.05,11.3855
0.05625,11.384
0.0625,11.3827
0.06875,11.3817
0.075,11.3809
0.08125,11.3801
0.0875,11.3795
0.1,11.3785
0.1125,11.3777
0.125,11.3771
0.1375,11.3766
0.15,11.3762
0.1625,11.3758
0.175,11.3755
0.2,11.375
0.21875,11.3747
0.2375,11.3744
0.25625,11.3742
0.275,11.374
0.3125,11.3737
0.35,11.3735
0.3875,11.3733
0.425,11.3731
0.5,11.3729
0.625,11.3726
0.75,11.3724
0.875,11.3722
1,11.3721
1.25,11.372
1.5,11.3719
1.75,11.3718
2,11.3718
2.75,11.3716
3.5,11.3716
4.25,11.3715
5,11.3715
6.25,11.3714
7.5,11.3714
8.75,11.3714
10,11.3713
12.5,11.3713
15,11.3712
17.5,11.3711
20,11.3711
27.5,11.3709
35,11.3708
42.5,11.3707
50,11.3705
62.5,11.3703
75,11.3701
87.5,11.3698
100,11.3696
125,11.3691
150,11.3687
175,11.3682
200,11.3677
275,11.3664
350,11.365
425,11.3636
500,11.3622
625,11.3599
750,11.3576
875,11.3554
1000,11.3531
1250,11.3485
1500,11.3439
1625,11.3416
1750,11.3393
2000,11.3347
2750,11.321
3500,11.3073
4250,11.2936
5000,11.2799
6250,11.2572
7500,11.2345
8750,11.2118
10000,11.1892
12500,11.1442
15000,11.0993
17500,11.0547
20000,11.0102
26389,10.8974
32778,10.7859
42148.6,10.6252
44704.2,10.5821
45977,10.5608
46295.2,10.5555
46613.4,10.5502
46772.5,10.5475
46852.1,10.5462
46931.6,10.5449
47011.2,10.5435
47031.1,10.5432
47041,10.543
47051,10.5429
47090.7,10.5422
47130.5,10.5416
47150.4,10.5412
47155.4,10.5412
47160.3,10.5411
47170.3,10.5409
47190.2,10.5406
47200.1,10.5405
47202.6,10.5404
47205.1,10.5404
47207.6,10.5403
47210.1,10.5403
47220,10.5402
47225,10.5402
47227.5,10.5402
47229.9,10.5402
47231.2,10.5402
47232.4,10.5402
47233.7,10.5402
47234.9,10.5402
47237.4,10.5403
47239.9,10.5404
47242.4,10.5406
47243.6,10.5407
47244.8,10.5409
47245.5,10.541
47246.1,10.5412
47246.7,10.5415
47247,10.5417
47247.3,10.542
47247.7,10.5423
47248,10.5426
47248.3,10.5431
47248.6,10.5437
47248.9,10.5444
47249.2,10.5453
47249.5,10.5464
47249.8,10.5478
47250.1,10.5495
47250.4,10.5516
47250.8,10.5541
47251.1,10.5571
47251.4,10.5608
47251.7,10.5651
47252,10.5703
47252.3,10.5762
47252.6,10.5833
47252.9,10.5913
47253.2,10.6006
47253.5,10.6109
47254.1,10.6358
47254.7,10.6658
47255.3,10.7014
47255.9,10.7404
47257.2,10.8225
47258.4,10.8932
47259,10.9173
47259.6,10.9309
47260,10.9335
47260.7,10.9255
47261.4,10.9044
47262,10.8729
47263.3,10.79
47264.6,10.7036
47265.3,10.6662
47265.9,10.6343
47266.6,10.608
47266.9,10.5971
47267.2,10.5879
47267.6,10.5797
47267.9,10.573
47268.2,10.567
47268.6,10.5622
47268.9,10.558
47269.2,10.5546
47269.5,10.5518
47269.9,10.5496
47270.2,10.5478
47270.5,10.5464
47270.8,10.5452
47271.2,10.5443
47271.5,10.5435
47271.8,10.5429
47272.2,10.5425
47272.5,10.5421
47272.8,10.5418
47273.1,10.5415
47273.8,10.5412
47274.4,10.5409
47275.1,10.5407
47276.4,10.5405
47277.7,10.5402
47279,10.5401
47280.3,10.5399
47281.6,10.5398
47282.9,10.5397
47284.2,10.5396
47285.5,10.5395
47286.8,10.5394
47289.4,10.5393
47292,10.5392
47297.2,10.5391
47299.8,10.539
47302.3,10.5389
47304.9,10.5388
47307.5,10.5388
47312.7,10.5387
47323.1,10.5385
47343.8,10.5381
47346.4,10.538
47349,10.538
47354.2,10.5379
47364.6,10.5377
47406,10.537
47426.8,10.5367
47432,10.5366
47437.1,10.5365
47447.5,10.5363
47489,10.5356
47530.4,10.5349
47613.4,10.5336
47945.2,10.5281
48972.6,10.5111
50000,10.4943
53306.2,10.4413
55041.9,10.4143
56777.7,10.3883
58513.4,10.3637
60249.1,10.3411
62067.5,10.321
