E_eV,Sig_b
1e-05,1914.03
1.03125e-05,1884.81
1.0625e-05,1856.9
1.09375e-05,1830.19
1.125e-05,1804.6
1.15625e-05,1780.06
1.1875e-05,1756.49
1.21875e-05,1733.83
1.25e-05,1712.03
1.28125e-05,1691.04
1.3125e-05,1670.79
1.34375e-05,1651.26
1.375e-05,1632.4
1.4375e-05,1596.53
1.5e-05,1562.94
1.5625e-05,1531.38
1.625e-05,1501.65
1.6875e-05,1473.6
1.75e-05,1447.06
1.8125e-05,1421.91
1.875e-05,1398.02
1.9375e-05,1375.31
2e-05,1353.66
2.09375e-05,1323.03
2.1875e-05,1294.39
2.28125e-05,1267.54
2.375e-05,1242.29
2.46875e-05,1218.49
2.5625e-05,1196.01
2.65625e-05,1174.74
2.75e-05,1154.56
2.84375e-05,1135.39
2.9375e-05,1117.14
3.03125e-05,1099.75
3.125e-05,1083.14
3.21875e-05,1067.27
3.3125e-05,1052.08
3.40625e-05,1037.52
3.5e-05,1023.54
3.59375e-05,1010.12
3.6875e-05,997.214
3.78125e-05,984.791
3.875e-05,972.821
3.96875e-05,961.278
4.0625e-05,950.137
4.25e-05,928.972
4.4375e-05,909.164
4.625e-05,890.574
4.8125e-05,873.081
5e-05,856.583
5.15625e-05,843.527
5.3125e-05,831.053
5.46875e-05,819.117
5.625e-05,807.682
5.78125e-05,796.714
5.9375e-05,786.182
6.09375e-05,776.059
6.25e-05,766.317
6.40625e-05,756.935
6.5625e-05,747.89
6.71875e-05,739.162
6.875e-05,730.734
7.1875e-05,714.711
7.5e-05,699.7
7.8125e-05,685.6
8.125e-05,672.323
8.4375e-05,659.79
8.75e-05,647.936
9.0625e-05,636.701
9.375e-05,626.033
9.6875e-05,615.885
0.0001,606.218
0.000103125,596.994
0.00010625,588.181
0.000109375,579.748
0.0001125,571.669
0.000115625,563.921
0.00011875,556.481
0.000121875,549.329
0.000125,542.448
0.000128125,535.82
0.00013125,529.431
0.000134375,523.266
0.0001375,517.313
0.00014375,505.995
0.00015,495.393
0.00015625,485.434
0.0001625,476.057
0.00016875,467.206
0.000175,458.835
0.00018125,450.901
0.0001875,443.368
0.00019375,436.203
0.0002,429.377
0.000209375,419.718
0.00021875,410.688
0.000228125,402.221
0.0002375,394.262
0.000246875,386.762
0.00025625,379.678
0.000265625,372.973
0.000275,366.615
0.000284375,360.575
0.00029375,354.826
0.000303125,349.348
0.0003125,344.118
0.000321875,339.119
0.00033125,334.334
0.000340625,329.749
0.00035,325.349
0.000359375,321.123
0.00036875,317.06
0.000378125,313.15
0.0003875,309.382
0.000396875,305.75
0.00040625,302.244
0.000425,295.584
0.00044375,289.353
