E_eV,Sig_b
1e-05,64.1851
1.03125e-05,63.2129
1.0625e-05,62.2841
1.09375e-05,61.3955
1.125e-05,60.5443
1.15625e-05,59.728
1.1875e-05,58.9441
1.21875e-05,58.1908
1.25e-05,57.4659
1.28125e-05,56.7678
1.3125e-05,56.0949
1.34375e-05,55.4456
1.375e-05,54.8187
1.4375e-05,53.627
1.5e-05,52.5109
1.5625e-05,51.4626
1.625e-05,50.4757
1.6875e-05,49.5444
1.75e-05,48.6636
1.8125e-05,47.829
1.875e-05,47.0366
1.9375e-05,46.2831
2e-05,45.5654
2.09375e-05,44.55
2.1875e-05,43.6009
2.28125e-05,42.7113
2.375e-05,41.8752
2.46875e-05,41.0874
2.5625e-05,40.3436
2.65625e-05,39.6397
2.75e-05,38.9724
2.84375e-05,38.3386
2.9375e-05,37.7356
3.03125e-05,37.161
3.125e-05,36.6126
3.21875e-05,36.0886
3.3125e-05,35.5871
3.40625e-05,35.1067
3.5e-05,34.6459
3.59375e-05,34.2033
3.6875e-05,33.7779
3.78125e-05,33.3686
3.875e-05,32.9744
3.96875e-05,32.5943
4.0625e-05,32.2276
4.25e-05,31.5313
4.4375e-05,30.88
4.625e-05,30.2692
4.8125e-05,29.6949
5e-05,29.1535
5.15625e-05,28.7254
5.3125e-05,28.3165
5.46875e-05,27.9255
5.625e-05,27.5511
5.78125e-05,27.1922
5.9375e-05,26.8477
6.09375e-05,26.5168
6.25e-05,26.1985
6.40625e-05,25.8922
6.5625e-05,25.5969
6.71875e-05,25.3123
6.875e-05,25.0375
7.1875e-05,24.5155
7.5e-05,24.0269
7.8125e-05,23.5685
8.125e-05,23.1373
8.4375e-05,22.7307
8.75e-05,22.3464
9.0625e-05,21.9826
9.375e-05,21.6375
9.6875e-05,21.3096
0.0001,20.9975
0.000103125,20.7
0.00010625,20.416
0.000109375,20.1445
0.0001125,19.8847
0.000115625,19.6357
0.00011875,19.3969
0.000121875,19.1675
0.000125,18.947
0.000128125,18.7349
0.00013125,18.5305
0.000134375,18.3335
0.0001375,18.1435
0.00014375,17.7826
0.00015,17.4452
0.00015625,17.1288
0.0001625,16.8314
0.00016875,16.5512
0.000175,16.2866
0.00018125,16.0362
0.0001875,15.7989
0.00019375,15.5735
