E_eV,Sig_b
1e-05,395.897
1.03125e-05,389.863
1.0625e-05,384.098
1.09375e-05,378.582
1.125e-05,373.297
1.15625e-05,368.228
1.1875e-05,363.361
1.21875e-05,358.683
1.25e-05,354.181
1.28125e-05,349.845
1.3125e-05,345.665
1.34375e-05,341.631
1.375e-05,337.736
1.4375e-05,330.331
1.5e-05,323.394
1.5625e-05,316.878
1.625e-05,310.742
1.6875e-05,304.95
1.75e-05,299.472
1.8125e-05,294.28
1.875e-05,289.35
1.9375e-05,284.661
2e-05,280.193
2.09375e-05,273.872
2.1875e-05,267.961
2.28125e-05,262.419
2.375e-05,257.209
2.46875e-05,252.299
2.5625e-05,247.662
2.65625e-05,243.272
2.75e-05,239.11
2.84375e-05,235.155
2.9375e-05,231.391
3.03125e-05,227.804
3.125e-05,224.379
3.21875e-05,221.106
3.3125e-05,217.972
3.40625e-05,214.97
3.5e-05,212.089
3.59375e-05,209.321
3.6875e-05,206.66
3.78125e-05,204.099
3.875e-05,201.632
3.96875e-05,199.252
4.0625e-05,196.956
4.25e-05,192.594
4.4375e-05,188.512
4.625e-05,184.681
4.8125e-05,181.077
5e-05,177.679
5.15625e-05,174.989
5.3125e-05,172.42
5.46875e-05,169.962
5.625e-05,167.607
5.78125e-05,165.349
5.9375e-05,163.181
6.09375e-05,161.097
6.25e-05,159.092
6.40625e-05,157.16
6.5625e-05,155.299
6.71875e-05,153.503
6.875e-05,151.769
7.1875e-05,148.472
7.5e-05,145.384
7.8125e-05,142.484
8.125e-05,139.754
8.4375e-05,137.177
8.75e-05,134.741
9.0625e-05,132.431
9.375e-05,130.239
9.6875e-05,128.154
0.0001,126.169
0.000103125,124.274
0.00010625,122.464
0.000109375,120.733
0.0001125,119.074
0.000115625,117.484
0.00011875,115.957
0.000121875,114.49
0.000125,113.078
0.000128125,111.718
0.00013125,110.408
0.000134375,109.144
0.0001375,107.923
0.00014375,105.603
0.00015,103.43
0.00015625,101.39
0.0001625,99.4688
0.00016875,97.6564
0.000175,95.9426
0.00018125,94.3187
0.0001875,92.7773
0.00019375,91.3115
0.0002,89.9155
0.000209375,87.9406
0.00021875,86.095
0.000228125,84.3651
0.0002375,82.7394
0.000246875,81.2079
0.00025625,79.7618
0.000265625,78.3935
0.000275,77.0963
0.000284375,75.8643
0.00029375,74.6923
0.000303125,73.5754
0.0003125,72.5096
0.000321875,71.491
0.00033125,70.5163
0.000340625,69.5825
0.00035,68.6867
0.000359375,67.8266
0.00036875,66.9996
0.000378125,66.2039
0.0003875,65.4375
0.000396875,64.6986
0.00040625,63.9856
0.000425,62.6317
0.00044375,61.3652
0.0004625,60.1772
0.00048125,59.0598
0.0005,58.0065
0.000515625,57.1732
0.00053125,56.3773
0.000546875,55.6161
0.0005625,54.887
0.000578125,54.1879
0.00059375,53.5169
0.000609375,52.872
0.000625,52.2516
0.000640625,51.6543
0.00065625,51.0785
0.000671875,50.5232
0.0006875,49.987
0.00071875,48.968
0.00075,48.0138
0.00078125,47.1179
0.0008125,46.2746
0.00084375,45.4788
0.000875,44.7265
0.00090625,44.0136
0.0009375,43.3369
0.00096875,42.6935
0.001,42.0807
0.00103125,41.4961
0.0010625,40.9377
0.00109375,40.4036
0.001125,39.8919
0.00115625,39.4014
0.0011875,38.9304
0.00121875,38.4778
0.00125,38.0423
0.00128125,37.623
0.0013125,37.2189
0.00134375,36.829
0.001375,36.4525
0.0014375,35.737
0.0015,35.0669
0.0015625,34.4377
0.001625,33.8453
0.0016875,33.2863
0.00175,32.7577
0.0018125,32.2568
0.001875,31.7812
0.0019375,31.329
0.002,30.8983
0.00209375,30.2889
0.0021875,29.7193
0.00228125,29.1853
0.002375,28.6834
0.00246875,28.2105
0.0025625,27.7639
0.00265625,27.3412
0.00275,26.9405
0.00284375,26.5598
0.0029375,26.1975
0.00303125,25.8523
0.003125,25.5228
0.00321875,25.2078
0.0033125,24.9063
0.00340625,24.6175
0.0035,24.3403
0.00359375,24.0742
0.0036875,23.8182
0.00378125,23.5719
0.003875,23.3346
0.00396875,23.1058
0.0040625,22.885
0.00425,22.4656
0.0044375,22.0731
0.004625,21.7048
0.0048125,21.3584
0.005,21.0316
0.00515625,20.7731
0.0053125,20.5261
0.00546875,20.2898
