E_eV,Sig_b
1e-05,1095.38
1.03125e-05,1078.67
1.0625e-05,1062.71
1.09375e-05,1047.43
1.125e-05,1032.8
1.15625e-05,1018.76
1.1875e-05,1005.28
1.21875e-05,992.325
1.25e-05,979.857
1.28125e-05,967.849
1.3125e-05,956.272
1.34375e-05,945.102
1.375e-05,934.315
1.4375e-05,913.806
1.5e-05,894.593
1.5625e-05,876.546
1.625e-05,859.55
1.6875e-05,843.508
1.75e-05,828.334
1.8125e-05,813.952
1.875e-05,800.295
1.9375e-05,787.306
2e-05,774.93
2.09375e-05,757.417
2.1875e-05,741.042
2.28125e-05,725.689
2.375e-05,711.254
2.46875e-05,697.65
2.5625e-05,684.8
2.65625e-05,672.638
2.75e-05,661.103
2.84375e-05,650.144
2.9375e-05,639.714
3.03125e-05,629.772
3.125e-05,620.281
3.21875e-05,611.209
3.3125e-05,602.525
3.40625e-05,594.202
3.5e-05,586.216
3.59375e-05,578.545
3.6875e-05,571.169
3.78125e-05,564.069
3.875e-05,557.229
3.96875e-05,550.632
4.0625e-05,544.266
4.25e-05,532.172
4.4375e-05,520.854
4.625e-05,510.232
4.8125e-05,500.238
5e-05,490.812
5.15625e-05,483.353
5.3125e-05,476.227
5.46875e-05,469.408
5.625e-05,462.876
5.78125e-05,456.612
5.9375e-05,450.596
6.09375e-05,444.814
6.25e-05,439.25
6.40625e-05,433.892
6.5625e-05,428.726
6.71875e-05,423.742
6.875e-05,418.929
7.1875e-05,409.779
7.5e-05,401.208
7.8125e-05,393.157
8.125e-05,385.577
8.4375e-05,378.422
8.75e-05,371.655
9.0625e-05,365.242
9.375e-05,359.153
9.6875e-05,353.361
0.0001,347.844
0.000103125,342.58
0.00010625,337.551
0.000109375,332.739
0.0001125,328.13
0.000115625,323.709
0.00011875,319.464
0.000121875,315.384
0.000125,311.458
0.000128125,307.678
0.00013125,304.033
0.000134375,300.517
0.0001375,297.121
0.00014375,290.666
0.00015,284.62
0.00015625,278.942
0.0001625,273.595
0.00016875,268.549
0.000175,263.777
0.00018125,259.254
0.0001875,254.96
0.00019375,250.876
0.0002,246.986
0.000209375,241.482
0.00021875,236.336
0.000228125,231.512
0.0002375,226.978
0.000246875,222.705
0.00025625,218.669
0.000265625,214.85
0.000275,211.229
0.000284375,207.788
0.00029375,204.515
0.000303125,201.395
0.0003125,198.416
0.000321875,195.57
0.00033125,192.845
0.000340625,190.234
0.00035,187.73
0.000359375,185.324
0.00036875,183.01
0.000378125,180.784
0.0003875,178.639
0.000396875,176.571
0.00040625,174.575
0.000425,170.784
0.00044375,167.237
0.0004625,163.908
0.00048125,160.777
0.0005,157.824
0.000515625,155.487
0.00053125,153.255
0.000546875,151.119
0.0005625,149.073
0.000578125,147.111
0.00059375,145.228
0.000609375,143.417
0.000625,141.675
0.000640625,139.997
0.00065625,138.38
0.000671875,136.82
0.0006875,135.313
0.00071875,132.449
0.00075,129.766
0.00078125,127.247
0.0008125,124.874
0.00084375,122.635
0.000875,120.518
0.00090625,118.511
0.0009375,116.605
0.00096875,114.793
0.001,113.067
0.00103125,111.42
0.0010625,109.846
0.00109375,108.341
0.001125,106.898
0.00115625,105.515
0.0011875,104.187
0.00121875,102.91
0.00125,101.682
0.00128125,100.499
0.0013125,99.3588
0.00134375,98.2586
0.001375,97.1961
0.0014375,95.1763
0.0015,93.2844
0.0015625,91.5074
0.001625,89.8342
0.0016875,88.2549
0.00175,86.7612
0.0018125,85.3456
0.001875,84.0015
0.0019375,82.7231
0.002,81.5053
0.00209375,79.7819
0.0021875,78.1708
0.00228125,76.6602
0.002375,75.2401
0.00246875,73.9018
0.0025625,72.6378
0.00265625,71.4415
0.00275,70.3069
0.00284375,69.2291
0.0029375,68.2033
0.00303125,67.2256
0.003125,66.2923
0.00321875,65.4002
0.0033125,64.5463
0.00340625,63.7279
0.0035,62.9427
0.00359375,62.1885
0.0036875,61.4633
0.00378125,60.7653
0.003875,60.0928
0.00396875,59.4443
0.0040625,58.8184
0.00425,57.6295
0.0044375,56.5168
0.004625,55.4727
0.0048125,54.4902
0.005,53.5636
0.00515625,52.8305
0.0053125,52.13
0.00546875,51.4598
0.005625,50.8177
0.00578125,50.2019
0.0059375,49.6107
0.00609375,49.0423
0.00625,48.4955
0.00640625,47.9688
0.0065625,47.461
0.00671875,46.9712
0.006875,46.4981
0.0071875,45.5987
0.0075,44.7563
0.0078125,43.9649
0.008125,43.2197
0.0084375,42.5163
0.00875,41.851
0.0090625,41.2205
0.009375,40.6218
0.0096875,40.0523
0.01,39.5098
0.0103125,38.9922
0.010625,38.4977
0.0109375,38.0245
0.01125,37.5713
0.0115625,37.1366
0.011875,36.7193
0.0121875,36.3181
0.0125,35.9321
0.0128125,35.5604
0.013125,35.2021
0.0134375,34.8563
0.01375,34.5225
0.014375,33.8878
0.015,33.2932
0.015625,32.7347
0.01625,32.2087
0.016875,31.7122
0.0175,31.2427
0.018125,30.7976
0.01875,30.3751
0.019375,29.9732
0.02,29.5903
0.0206625,29.2036
0.021325,28.8351
0.0219875,28.4835
0.02265,28.1475
0.0233125,27.8259
0.023975,27.5178
0.0246375,27.2222
0.0253,26.9383
0.0264578,26.4682
0.0276156,26.028
0.0287734,25.6148
0.0299312,25.2259
0.0310891,24.8591
0.0322469,24.5123
0.0334047,24.1837
0.0345625,23.8719
0.0355273,23.6237
0.0364922,23.3854
0.037457,23.1564
0.0384219,22.9361
0.0393867,22.7239
0.0403516,22.5194
0.0413164,22.3221
0.0422812,22.1316
0.0442109,21.7696
0.0461406,21.4307
0.0480703,21.1125
0.05,20.8129
0.0515625,20.5828
0.053125,20.363
0.0546875,20.1527
0.05625,19.9513
0.0578125,19.7582
0.059375,19.5728
0.0609375,19.3947
0.0625,19.2233
0.0640625,19.0583
0.065625,18.8993
0.06875,18.5978
0.071875,18.3161
0.075,18.0521
0.078125,17.8042
0.08125,17.5708
0.084375,17.3505
0.0875,17.1422
0.090625,16.9449
0.09375,16.7576
0.096875,16.5795
0.1,16.4098
0.103125,16.248
0.10625,16.0934
0.109375,15.9455
0.1125,15.8039
0.115625,15.6681
0.11875,15.5377
0.121875,15.4125
0.125,15.2921
0.128125,15.1762
0.13125,15.0645
0.1375,14.8527
0.14375,14.6548
0.15,14.4693
0.15625,14.2952
0.1625,14.1314
0.16875,13.9768
0.175,13.8306
0.18125,13.6921
0.1875,13.5607
0.19375,13.4359
0.2,13.3171
0.209375,13.149
0.21875,12.9918
0.228125,12.8444
0.2375,12.7059
0.246875,12.5755
0.25625,12.4524
0.265625,12.336
0.275,12.2256
0.284375,12.1208
0.29375,12.0211
0.303125,11.9262
0.3125,11.8356
0.321875,11.749
0.33125,11.6662
0.340625,11.5869
0.35,11.5109
0.359375,11.4379
0.36875,11.3677
0.378125,11.3003
0.3875,11.2355
0.40625,11.1126
0.425,10.9979
0.44375,10.8906
0.4625,10.79
0.5,10.6068
0.53125,10.4695
0.5625,10.3437
0.625,10.1218
0.6875,9.93178
0.75,9.76679
0.8125,9.62198
0.875,9.494
0.9375,9.37975
1,9.27679
1.0625,9.18377
1.125,9.09935
1.25,8.95213
1.375,8.82852
1.5,8.72395
1.625,8.63519
1.75,8.56011
1.875,8.49677
2,8.44365
2.1875,8.38182
2.375,8.33979
2.5625,8.31649
2.75,8.31205
2.9375,8.32676
3.125,8.36155
3.3125,8.41864
3.5,8.50025
3.59375,8.55128
3.6875,8.61048
3.78125,8.67803
3.875,8.75468
3.96875,8.84126
4.0625,8.93873
4.15625,9.04818
4.25,9.17086
4.34375,9.30822
4.4375,9.46189
4.53125,9.63379
4.625,9.82609
4.71875,10.0413
4.8125,10.2825
4.90625,10.5531
5,10.8569
5.1003,11.2244
5.20061,11.6428
5.30091,12.1202
5.40122,12.667
5.45137,12.97
5.50152,13.2954
5.55167,13.6448
5.60183,14.0193
5.65198,14.4209
5.70213,14.856
5.75228,15.3269
5.80244,15.8363
5.86373,16.5169
5.92503,17.2692
5.98633,18.103
