E_eV,Sig_b
1e-05,39.0653
1.03125e-05,38.4698
1.0625e-05,37.9008
1.09375e-05,37.3563
1.125e-05,36.8347
1.15625e-05,36.3344
1.1875e-05,35.854
1.21875e-05,35.3922
1.25e-05,34.9479
1.28125e-05,34.5199
1.3125e-05,34.1073
1.34375e-05,33.7092
1.375e-05,33.3247
1.4375e-05,32.5938
1.5e-05,31.9091
1.5625e-05,31.2659
1.625e-05,30.6602
1.6875e-05,30.0886
1.75e-05,29.5478
1.8125e-05,29.0353
1.875e-05,28.5487
1.9375e-05,28.0858
2e-05,27.6448
2.09375e-05,27.0208
2.1875e-05,26.4373
2.28125e-05,25.8903
2.375e-05,25.376
2.46875e-05,24.8913
2.5625e-05,24.4335
2.65625e-05,24.0002
2.75e-05,23.5892
2.84375e-05,23.1988
2.9375e-05,22.8273
3.03125e-05,22.4731
3.125e-05,22.1351
3.21875e-05,21.8119
3.3125e-05,21.5026
3.40625e-05,21.2061
3.5e-05,20.9217
3.59375e-05,20.6485
3.6875e-05,20.3858
3.78125e-05,20.1329
3.875e-05,19.8893
3.96875e-05,19.6544
4.0625e-05,19.4277
4.25e-05,18.9971
4.4375e-05,18.5941
4.625e-05,18.2159
4.8125e-05,17.8601
5e-05,17.5245
5.15625e-05,17.259
5.3125e-05,17.0053
5.46875e-05,16.7626
5.625e-05,16.5302
5.78125e-05,16.3072
5.9375e-05,16.0931
6.09375e-05,15.8873
6.25e-05,15.6894
6.40625e-05,15.4987
6.5625e-05,15.3149
6.71875e-05,15.1376
6.875e-05,14.9663
7.1875e-05,14.6408
7.5e-05,14.336
7.8125e-05,14.0496
8.125e-05,13.7801
8.4375e-05,13.5257
8.75e-05,13.2851
9.0625e-05,13.0571
9.375e-05,12.8406
9.6875e-05,12.6348
0.0001,12.4387
0.000103125,12.2517
0.00010625,12.073
0.000109375,11.9021
0.0001125,11.7383
0.000115625,11.5813
0.00011875,11.4306
0.000121875,11.2857
0.000125,11.1464
0.000128125,11.0121
0.00013125,10.8828
0.000134375,10.758
0.0001375,10.6375
0.00014375,10.4085
0.00015,10.194
0.00015625,9.99266
0.0001625,9.80311
0.00016875,9.62426
0.000175,9.45516
0.00018125,9.29494
0.0001875,9.14287
0.00019375,8.99827
0.0002,8.86057
0.000209375,8.66579
0.00021875,8.48379
0.000228125,8.31322
0.0002375,8.15295
0.000246875,8.002
0.00025625,7.85948
0.000265625,7.72466
0.000275,7.59687
0.000284375,7.47553
0.00029375,7.3601
0.000303125,7.25014
0.0003125,7.14522
0.000321875,7.04497
0.00033125,6.94907
0.000340625,6.8572
0.00035,6.7691
0.000359375,6.68451
0.00036875,6.60322
0.000378125,6.52501
0.0003875,6.44969
0.000396875,6.3771
0.00040625,6.30707
0.000425,6.17414
0.00044375,6.04984
0.0004625,5.93331
0.00048125,5.82376
0.0005,5.72053
0.000515625,5.63892
0.00053125,5.561
0.000546875,5.48649
0.0005625,5.41517
0.000578125,5.34682
0.00059375,5.28123
0.000609375,5.21822
0.000625,5.15764
0.000640625,5.09933
0.00065625,5.04316
0.000671875,4.98899
0.0006875,4.93672
0.00071875,4.83745
0.00075,4.74457
0.00078125,4.65743
0.0008125,4.57548
0.00084375,4.49822
0.000875,4.42523
0.00090625,4.35613
0.0009375,4.29059
0.00096875,4.22832
0.001,4.16906
0.00103125,4.11257
0.0010625,4.05866
0.00109375,4.00712
0.001125,3.9578
0.00115625,3.91054
0.0011875,3.8652
0.00121875,3.82166
0.00125,3.7798
0.00128125,3.73952
0.0013125,3.70072
0.00134375,3.66331
0.001375,3.62722
0.0014375,3.55869
0.0015,3.49459
0.0015625,3.43446
0.001625,3.37793
0.0016875,3.32464
0.00175,3.27431
0.0018125,3.22666
0.001875,3.18147
0.0019375,3.13854
0.002,3.09769
0.00209375,3.03995
0.0021875,2.98606
0.00228125,2.9356
0.002375,2.88823
0.00246875,2.84364
0.0025625,2.80158
0.00265625,2.76182
0.00275,2.72415
0.00284375,2.68841
0.0029375,2.65442
0.00303125,2.62206
0.003125,2.5912
0.00321875,2.56172
0.0033125,2.53353
0.00340625,2.50654
0.0035,2.48066
0.00359375,2.45582
0.0036875,2.43195
0.00378125,2.409
0.003875,2.3869
0.00396875,2.3656
0.0040625,2.34505
0.00425,2.30607
0.0044375,2.26962
0.004625,2.23546
0.0048125,2.20334
0.005,2.17308
0.00515625,2.14916
0.0053125,2.12632
0.00546875,2.10448
0.005625,2.08358
0.00578125,2.06354
0.0059375,2.04431
0.00609375,2.02583
0.00625,2.00807
0.00640625,1.99097
0.0065625,1.97449
0.00671875,1.9586
0.006875,1.94326
0.0071875,1.91412
0.0075,1.88685
0.0078125,1.86125
0.008125,1.83717
0.0084375,1.81445
0.00875,1.79298
0.0090625,1.77265
0.009375,1.75335
0.0096875,1.73501
0.01,1.71754
0.0103125,1.70088
0.010625,1.68498
0.0109375,1.66977
0.01125,1.6552
0.0115625,1.64123
0.011875,1.62783
0.0121875,1.61495
0.0125,1.60257
0.0128125,1.59064
0.013125,1.57915
0.0134375,1.56806
0.01375,1.55736
0.014375,1.53703
0.015,1.51799
0.015625,1.50012
0.01625,1.4833
0.016875,1.46743
0.0175,1.45243
0.018125,1.43822
0.01875,1.42473
0.019375,1.41191
0.02,1.39969
0.0206625,1.38736
0.021325,1.37561
0.0219875,1.36441
0.02265,1.3537
0.0233125,1.34346
0.023975,1.33364
0.0246375,1.32423
0.0253,1.3152
0.0264578,1.30024
0.0276156,1.28623
0.0287734,1.27309
0.0299312,1.26073
0.0310891,1.24906
0.0322469,1.23804
0.0334047,1.22759
0.0345625,1.21768
0.0355273,1.2098
0.0364922,1.20223
0.037457,1.19496
0.0384219,1.18797
0.0393867,1.18123
0.0403516,1.17475
0.0413164,1.16849
0.0422812,1.16244
0.0442109,1.15096
0.0461406,1.14021
0.0480703,1.13011
0.05,1.12061
0.0515625,1.11332
0.053125,1.10635
0.0546875,1.09968
0.05625,1.0933
0.0578125,1.08717
0.059375,1.0813
0.0609375,1.07565
0.0625,1.07021
0.0640625,1.06498
0.065625,1.05993
0.0671875,1.05507
0.06875,1.05037
0.071875,1.04144
0.075,1.03307
0.078125,1.02522
0.08125,1.01782
0.084375,1.01084
0.0875,1.00423
0.090625,0.997974
0.09375,0.992033
0.096875,0.986383
0.1,0.981001
0.103125,0.975867
0.10625,0.970962
0.109375,0.96627
0.1125,0.961775
0.115625,0.957465
0.11875,0.953327
0.121875,0.94935
0.125,0.945524
0.128125,0.94184
0.13125,0.938289
0.134375,0.934863
0.1375,0.931555
0.14375,0.925266
0.15,0.919374
0.15625,0.91384
0.1625,0.908628
0.16875,0.903708
0.175,0.899056
0.18125,0.894647
0.1875,0.890462
0.19375,0.886482
0.2,0.882691
0.209375,0.877327
0.21875,0.872311
0.228125,0.867607
0.2375,0.863184
0.246875,0.859016
0.25625,0.855079
0.265625,0.851352
0.275,0.847819
0.284375,0.844462
0.29375,0.841268
0.303125,0.838223
0.3125,0.835316
0.321875,0.832538
0.33125,0.829878
0.340625,0.827329
0.35,0.824884
0.359375,0.822535
0.36875,0.820277
0.378125,0.818104
0.3875,0.81601
0.396875,0.813993
0.40625,0.812045
0.425,0.808346
0.44375,0.804881
0.4625,0.801628
0.5,0.795688
0.53125,0.791226
0.5625,0.787134
0.59375,0.783369
0.625,0.779889
0.6875,0.773656
0.75,0.768219
0.8125,0.763422
0.875,0.75916
0.9375,0.755329
1,0.751851
1.0625,0.748683
1.125,0.745783
1.1875,0.743114
1.25,0.740647
1.375,0.736226
1.5,0.732367
1.625,0.72896
1.75,0.725931
1.875,0.723207
2,0.720728
2.1875,0.717414
2.375,0.7145
2.5625,0.711908
2.75,0.709588
2.9375,0.707489
3.125,0.705573
3.3125,0.703819
3.5,0.702205
3.875,0.699327
4.25,0.69683
4.625,0.694633
5,0.692682
5.3125,0.691211
5.625,0.689857
5.9375,0.688606
6.25,0.687446
6.875,0.685354
7.5,0.683514
8.125,0.681877
8.75,0.680407
9.375,0.679074
10,0.677855
10.625,0.676735
11.25,0.675699
11.875,0.674737
12.5,0.67384
13.75,0.672207
15,0.670754
16.25,0.669444
17.5,0.668254
18.75,0.667162
20,0.666152
