E_eV,Sig_b
1e-05,51.8066
1.03125e-05,51.0284
1.0625e-05,50.285
1.09375e-05,49.5739
1.125e-05,48.8928
1.15625e-05,48.2397
1.1875e-05,47.6127
1.21875e-05,47.0101
1.25e-05,46.4304
1.28125e-05,45.8721
1.3125e-05,45.3341
1.34375e-05,44.8151
1.375e-05,44.3139
1.4375e-05,43.3616
1.5e-05,42.4698
1.5625e-05,41.6325
1.625e-05,40.8444
1.6875e-05,40.1008
1.75e-05,39.3978
1.8125e-05,38.7318
1.875e-05,38.0997
1.9375e-05,37.4988
2e-05,36.9265
2.09375e-05,36.1171
2.1875e-05,35.3609
2.28125e-05,34.6523
2.375e-05,33.9866
2.46875e-05,33.3597
2.5625e-05,32.7679
2.65625e-05,32.2082
2.75e-05,31.6777
2.84375e-05,31.174
2.9375e-05,30.695
3.03125e-05,30.2388
3.125e-05,29.8035
3.21875e-05,29.3877
3.3125e-05,28.99
3.40625e-05,28.6091
3.5e-05,28.2438
3.59375e-05,27.8933
3.6875e-05,27.5564
3.78125e-05,27.2323
3.875e-05,26.9203
3.96875e-05,26.6197
4.0625e-05,26.3297
4.25e-05,25.7794
4.4375e-05,25.2651
4.625e-05,24.7831
4.8125e-05,24.3302
5e-05,23.9037
5.15625e-05,23.5666
5.3125e-05,23.2448
5.46875e-05,22.9374
5.625e-05,22.6431
5.78125e-05,22.3612
5.9375e-05,22.0909
6.09375e-05,21.8313
6.25e-05,21.5818
6.40625e-05,21.3417
6.5625e-05,21.1106
6.71875e-05,20.8878
6.875e-05,20.6729
7.1875e-05,20.2651
7.5e-05,19.8839
7.8125e-05,19.5266
8.125e-05,19.1909
8.4375e-05,18.8747
8.75e-05,18.5764
9.0625e-05,18.2942
9.375e-05,18.0269
9.6875e-05,17.7732
0.0001,17.532
0.000103125,17.3023
0.00010625,17.0834
0.000109375,16.8744
0.0001125,16.6745
0.000115625,16.4833
0.00011875,16.3
0.000121875,16.1243
0.000125,15.9555
0.000128125,15.7933
0.00013125,15.6372
0.000134375,15.487
0.0001375,15.3422
0.00014375,15.0677
0.00015,14.8117
0.00015625,14.5722
0.0001625,14.3476
0.00016875,14.1364
0.000175,13.9374
0.00018125,13.7496
0.0001875,13.572
0.00019375,13.4037
0.0002,13.2439
0.000209375,13.019
0.00021875,12.8098
0.000228125,12.6148
0.0002375,12.4324
0.000246875,12.2615
0.00025625,12.101
0.000265625,11.9498
0.000275,11.8072
0.000284375,11.6724
0.00029375,11.5448
0.000303125,11.4237
0.0003125,11.3087
0.000321875,11.1993
0.00033125,11.0952
0.000340625,10.9958
0.00035,10.9009
0.000359375,10.8101
0.00036875,10.7233
0.000378125,10.6401
0.0003875,10.5603
0.000396875,10.4836
0.00040625,10.41
0.000425,10.271
0.00044375,10.142
0.0004625,10.022
0.00048125,9.90994
0.0005,9.80509
0.000515625,9.72269
0.00053125,9.64446
0.000546875,9.57006
0.0005625,9.49921
0.000578125,9.43166
0.00059375,9.36716
0.000609375,9.30552
0.000625,9.24653
0.000640625,9.19002
0.00065625,9.13583
0.000671875,9.08382
0.0006875,9.03385
0.00071875,8.93955
0.00075,8.85206
0.00078125,8.77065
0.0008125,8.69467
0.00084375,8.62357
0.000875,8.55688
0.00090625,8.49418
0.0009375,8.4351
0.00096875,8.37933
0.001,8.32659
0.00103125,8.27661
0.0010625,8.22918
0.00109375,8.1841
0.001125,8.14119
0.00115625,8.10028
0.0011875,8.06124
0.00121875,8.02392
0.00125,7.98822
0.00128125,7.95402
0.0013125,7.92123
0.00134375,7.88975
0.001375,7.8595
0.0014375,7.80241
0.0015,7.74943
0.0015625,7.7001
0.001625,7.65402
0.0016875,7.61089
0.00175,7.57039
0.0018125,7.53229
0.001875,7.49636
0.0019375,7.46242
0.002,7.43028
0.00209375,7.38515
0.0021875,7.34331
0.00228125,7.30441
0.002375,7.26811
0.00246875,7.23416
0.0025625,7.20231
0.00265625,7.17236
0.00275,7.14414
0.00284375,7.11749
0.0029375,7.09228
0.00303125,7.06837
0.003125,7.04567
0.00321875,7.02409
0.0033125,7.00353
0.00340625,6.98391
0.0035,6.96518
0.00359375,6.94726
0.0036875,6.93011
0.00378125,6.91366
0.003875,6.89788
0.00396875,6.88272
0.0040625,6.86815
0.00425,6.8406
0.0044375,6.81499
0.004625,6.79112
0.0048125,6.76878
0.005,6.74784
0.00515625,6.73135
0.0053125,6.71567
0.00546875,6.70072
0.005625,6.68646
0.00578125,6.67283
0.0059375,6.6598
0.00609375,6.64731
0.00625,6.63534
0.00640625,6.62384
0.0065625,6.6128
0.00671875,6.60218
0.006875,6.59195
0.0071875,6.57259
0.0075,6.55455
0.0078125,6.5377
0.008125,6.5219
0.0084375,6.50706
0.00875,6.49309
0.0090625,6.4799
0.009375,6.46743
0.0096875,6.45561
0.01,6.44439
0.0103125,6.43372
0.010625,6.42356
0.0109375,6.41388
0.01125,6.40462
0.0115625,6.39577
0.011875,6.3873
0.0121875,6.37918
0.0125,6.37139
