E_eV,Sig_b
1e-05,497.449
1.03125e-05,489.888
1.0625e-05,482.664
1.09375e-05,475.752
1.125e-05,469.131
1.15625e-05,462.78
1.1875e-05,456.682
1.21875e-05,450.821
1.25e-05,445.181
1.28125e-05,439.749
1.3125e-05,434.513
1.34375e-05,429.461
1.375e-05,424.582
1.4375e-05,415.307
1.5e-05,406.619
1.5625e-05,398.459
1.625e-05,390.776
1.6875e-05,383.524
1.75e-05,376.666
1.8125e-05,370.166
1.875e-05,363.994
1.9375e-05,358.125
2e-05,352.533
2.09375e-05,344.622
2.1875e-05,337.226
2.28125e-05,330.292
2.375e-05,323.774
2.46875e-05,317.632
2.5625e-05,311.832
2.65625e-05,306.343
2.75e-05,301.137
2.84375e-05,296.192
2.9375e-05,291.487
3.03125e-05,287.003
3.125e-05,282.723
3.21875e-05,278.632
3.3125e-05,274.716
3.40625e-05,270.964
3.5e-05,267.365
3.59375e-05,263.908
3.6875e-05,260.584
3.78125e-05,257.385
3.875e-05,254.304
3.96875e-05,251.333
4.0625e-05,248.466
4.25e-05,243.021
4.4375e-05,237.926
4.625e-05,233.147
4.8125e-05,228.651
5e-05,224.412
5.15625e-05,221.058
5.3125e-05,217.855
5.46875e-05,214.791
5.625e-05,211.856
5.78125e-05,209.042
5.9375e-05,206.34
6.09375e-05,203.744
6.25e-05,201.246
6.40625e-05,198.841
6.5625e-05,196.523
6.71875e-05,194.287
6.875e-05,192.129
7.1875e-05,188.026
7.5e-05,184.185
7.8125e-05,180.579
8.125e-05,177.184
8.4375e-05,173.982
8.75e-05,170.954
9.0625e-05,168.086
9.375e-05,165.364
9.6875e-05,162.775
0.0001,160.311
0.000103125,157.96
0.00010625,155.715
0.000109375,153.569
0.0001125,151.513
0.000115625,149.541
0.00011875,147.65
0.000121875,145.832
0.000125,144.084
0.000128125,142.4
0.00013125,140.778
0.000134375,139.214
0.0001375,137.704
0.00014375,134.834
0.00015,132.149
0.00015625,129.628
0.0001625,127.256
0.00016875,125.019
0.000175,122.904
0.00018125,120.901
0.0001875,119.001
0.00019375,117.195
