E_eV,Sig_b
1e-05,2812.14
1.03125e-05,2769.22
1.0625e-05,2728.21
1.09375e-05,2688.97
1.125e-05,2651.38
1.15625e-05,2615.32
1.1875e-05,2580.69
1.21875e-05,2547.41
1.25e-05,2515.38
1.28125e-05,2484.53
1.3125e-05,2454.79
1.34375e-05,2426.09
1.375e-05,2398.38
1.4375e-05,2345.69
1.5e-05,2296.33
1.5625e-05,2249.96
1.625e-05,2206.29
1.6875e-05,2165.07
1.75e-05,2126.09
1.8125e-05,2089.13
1.875e-05,2054.04
1.9375e-05,2020.67
2e-05,1988.87
2.09375e-05,1943.86
2.1875e-05,1901.79
2.28125e-05,1862.33
2.375e-05,1825.24
2.46875e-05,1790.28
2.5625e-05,1757.26
2.65625e-05,1726
2.75e-05,1696.35
2.84375e-05,1668.19
2.9375e-05,1641.38
3.03125e-05,1615.83
3.125e-05,1591.43
3.21875e-05,1568.11
3.3125e-05,1545.79
3.40625e-05,1524.4
3.5e-05,1503.87
3.59375e-05,1484.15
3.6875e-05,1465.19
3.78125e-05,1446.93
3.875e-05,1429.35
3.96875e-05,1412.39
4.0625e-05,1396.02
4.25e-05,1364.93
4.4375e-05,1335.83
4.625e-05,1308.51
4.8125e-05,1282.82
5e-05,1258.58
5.15625e-05,1239.4
5.3125e-05,1221.07
5.46875e-05,1203.53
5.625e-05,1186.73
5.78125e-05,1170.62
5.9375e-05,1155.15
6.09375e-05,1140.27
6.25e-05,1125.96
6.40625e-05,1112.18
6.5625e-05,1098.89
6.71875e-05,1086.07
6.875e-05,1073.68
7.1875e-05,1050.14
7.5e-05,1028.09
7.8125e-05,1007.37
8.125e-05,987.865
8.4375e-05,969.453
8.75e-05,952.036
9.0625e-05,935.529
9.375e-05,919.855
9.6875e-05,904.947
0.0001,890.743
0.000103125,877.191
0.00010625,864.241
0.000109375,851.852
0.0001125,839.982
0.000115625,828.598
0.00011875,817.666
0.000121875,807.158
0.000125,797.047
0.000128125,787.308
0.00013125,777.92
0.000134375,768.862
0.0001375,760.114
0.00014375,743.484
0.00015,727.905
0.00015625,713.272
0.0001625,699.492
0.00016875,686.486
0.000175,674.184
0.00018125,662.524
0.0001875,651.454
0.00019375,640.924
0.0002,630.892
0.000209375,616.696
0.00021875,603.425
0.000228125,590.981
0.0002375,579.282
0.000246875,568.257
0.00025625,557.844
0.000265625,547.987
0.000275,538.64
0.000284375,529.76
0.00029375,521.309
0.000303125,513.253
0.0003125,505.564
0.000321875,498.213
0.00033125,491.177
0.000340625,484.434
0.00035,477.965
0.000359375,471.75
0.00036875,465.774
0.000378125,460.023
0.0003875,454.481
0.000396875,449.138
0.00040625,443.981
0.000425,434.184
0.00044375,425.016
0.0004625,416.412
0.00048125,408.316
0.0005,400.681
0.000515625,394.64
0.00053125,388.867
0.000546875,383.345
0.0005625,378.054
0.000578125,372.98
0.00059375,368.107
0.000609375,363.424
0.000625,358.917
0.000640625,354.577
0.00065625,350.392
0.000671875,346.355
0.0006875,342.457
0.00071875,335.045
0.00075,328.102
0.00078125,321.581
0.0008125,315.44
0.00084375,309.644
0.000875,304.162
0.00090625,298.966
0.0009375,294.033
0.00096875,289.34
0.001,284.87
0.00103125,280.604
0.0010625,276.529
0.00109375,272.63
0.001125,268.894
0.00115625,265.311
0.0011875,261.871
0.00121875,258.564
0.00125,255.382
0.00128125,252.318
0.0013125,249.363
0.00134375,246.513
0.001375,243.76
0.0014375,238.527
0.0015,233.624
0.0015625,229.019
0.001625,224.683
0.0016875,220.591
0.00175,216.719
0.0018125,213.05
0.001875,209.567
0.0019375,206.253
0.002,203.096
