E_eV,Sig_b
1e-05,63.0223
1.03125e-05,62.0767
1.0625e-05,61.1733
1.09375e-05,60.3092
1.125e-05,59.4815
1.15625e-05,58.6878
1.1875e-05,57.9259
1.21875e-05,57.1937
1.25e-05,56.4893
1.28125e-05,55.811
1.3125e-05,55.1573
1.34375e-05,54.5266
1.375e-05,53.9178
1.4375e-05,52.7607
1.5e-05,51.6772
1.5625e-05,50.66
1.625e-05,49.7025
1.6875e-05,48.7993
1.75e-05,47.9453
1.8125e-05,47.1363
1.875e-05,46.3685
1.9375e-05,45.6386
2e-05,44.9435
2.09375e-05,43.9605
2.1875e-05,43.0421
2.28125e-05,42.1816
2.375e-05,41.3732
2.46875e-05,40.6119
2.5625e-05,39.8934
2.65625e-05,39.2138
2.75e-05,38.5697
2.84375e-05,37.9583
2.9375e-05,37.3768
3.03125e-05,36.823
3.125e-05,36.2947
3.21875e-05,35.79
3.3125e-05,35.3073
3.40625e-05,34.8451
3.5e-05,34.4018
3.59375e-05,33.9764
3.6875e-05,33.5676
3.78125e-05,33.1745
3.875e-05,32.796
3.96875e-05,32.4312
4.0625e-05,32.0795
4.25e-05,31.412
4.4375e-05,30.7882
4.625e-05,30.2037
4.8125e-05,29.6546
5e-05,29.1374
5.15625e-05,28.7287
5.3125e-05,28.3388
5.46875e-05,27.9661
5.625e-05,27.6095
5.78125e-05,27.2679
5.9375e-05,26.9404
6.09375e-05,26.6259
6.25e-05,26.3236
6.40625e-05,26.0329
6.5625e-05,25.753
6.71875e-05,25.4832
6.875e-05,25.223
7.1875e-05,24.7293
7.5e-05,24.2679
7.8125e-05,23.8356
8.125e-05,23.4294
8.4375e-05,23.0471
8.75e-05,22.6863
9.0625e-05,22.3452
9.375e-05,22.0221
9.6875e-05,21.7155
0.0001,21.4241
0.000103125,21.1468
0.00010625,20.8825
0.000109375,20.6301
0.0001125,20.389
0.000115625,20.1583
0.00011875,19.9372
0.000121875,19.7253
0.000125,19.5218
0.000128125,19.3263
0.00013125,19.1383
0.000134375,18.9573
0.0001375,18.783
0.00014375,18.4526
0.00015,18.1446
0.00015625,17.8567
0.0001625,17.5867
0.00016875,17.3331
