E_eV,Sig_b
1e-05,44.2931
1.03125e-05,43.6465
1.0625e-05,43.029
1.09375e-05,42.4387
1.125e-05,41.8735
1.15625e-05,41.3317
1.1875e-05,40.8118
1.21875e-05,40.3124
1.25e-05,39.8322
1.28125e-05,39.37
1.3125e-05,38.9247
1.34375e-05,38.4953
1.375e-05,38.0809
1.4375e-05,37.2938
1.5e-05,36.5575
1.5625e-05,35.8667
1.625e-05,35.2171
1.6875e-05,34.6047
1.75e-05,34.0262
1.8125e-05,33.4787
1.875e-05,32.9594
1.9375e-05,32.4662
2e-05,31.9969
2.09375e-05,31.3338
2.1875e-05,30.7151
2.28125e-05,30.1361
2.375e-05,29.5928
2.46875e-05,29.0818
2.5625e-05,28.6001
2.65625e-05,28.145
2.75e-05,27.7142
2.84375e-05,27.3057
2.9375e-05,26.9178
3.03125e-05,26.5486
3.125e-05,26.1969
3.21875e-05,25.8614
3.3125e-05,25.5408
3.40625e-05,25.2341
3.5e-05,24.9404
3.59375e-05,24.6589
3.6875e-05,24.3886
3.78125e-05,24.129
3.875e-05,23.8794
3.96875e-05,23.6391
4.0625e-05,23.4076
4.25e-05,22.9691
4.4375e-05,22.5602
4.625e-05,22.1779
4.8125e-05,21.8196
5e-05,21.4828
5.15625e-05,21.2173
5.3125e-05,20.9643
5.46875e-05,20.723
5.625e-05,20.4925
5.78125e-05,20.2721
5.9375e-05,20.0611
6.09375e-05,19.8589
6.25e-05,19.665
6.40625e-05,19.4787
6.5625e-05,19.2996
6.71875e-05,19.1274
6.875e-05,18.9616
7.1875e-05,18.6476
7.5e-05,18.3553
7.8125e-05,18.0822
8.125e-05,17.8266
8.4375e-05,17.5866
8.75e-05,17.361
9.0625e-05,17.1483
9.375e-05,16.9475
9.6875e-05,16.7575
0.0001,16.5775
0.000103125,16.4067
0.00010625,16.2444
0.000109375,16.0899
0.0001125,15.9426
0.000115625,15.8022
0.00011875,15.668
0.000121875,15.5397
0.000125,15.4169
0.000128125,15.2992
0.00013125,15.1863
0.000134375,15.0779
0.0001375,14.9737
0.00014375,14.7772
0.00015,14.5948
0.00015625,14.4252
0.0001625,14.2669
0.00016875,14.1189
0.000175,13.9802
0.00018125,13.8499
0.0001875,13.7273
0.00019375,13.6117
0.0002,13.5025
0.000209375,13.3495
0.00021875,13.2083
0.000228125,13.0774
0.0002375,12.9559
0.000246875,12.8426
0.00025625,12.7368
0.000265625,12.6378
0.000275,12.5449
0.000284375,12.4575
0.00029375,12.3752
0.000303125,12.2976
0.0003125,12.2242
0.000321875,12.1547
0.00033125,12.0888
0.000340625,12.0262
0.00035,11.9667
0.000359375,11.91
0.00036875,11.856
0.000378125,11.8044
0.0003875,11.7552
0.000396875,11.708
0.00040625,11.6629
0.000425,11.5782
0.00044375,11.5
0.0004625,11.4277
0.00048125,11.3607
0.0005,11.2982
0.000515625,11.2494
0.00053125,11.2032
0.000546875,11.1595
0.0005625,11.118
0.000578125,11.0785
0.00059375,11.041
0.000609375,11.0053
0.000625,10.9712
0.000640625,10.9386
0.00065625,10.9075
0.000671875,10.8777
0.0006875,10.8491
0.00071875,10.7954
0.00075,10.7459
0.00078125,10.7
0.0008125,10.6573
0.00084375,10.6175
0.000875,10.5803
0.00090625,10.5455
0.0009375,10.5128
0.00096875,10.482
0.001,10.453
0.00103125,10.4256
0.0010625,10.3996
0.00109375,10.375
0.001125,10.3517
0.00115625,10.3295
0.0011875,10.3083
0.00121875,10.2882
0.00125,10.2689
0.00128125,10.2505
0.0013125,10.2329
0.00134375,10.216
0.001375,10.1998
0.0014375,10.1694
0.0015,10.1412
0.0015625,10.1151
0.001625,10.0908
0.0016875,10.068
0.00175,10.0468
0.0018125,10.0268
0.001875,10.0081
0.0019375,9.99043
0.002,9.97374
0.00209375,9.95038
0.0021875,9.9288
0.00228125,9.9088
0.002375,9.8902
0.00246875,9.87286
0.0025625,9.85664
0.00265625,9.84143
0.00275,9.82714
0.00284375,9.81368
0.0029375,9.80098
0.00303125,9.78896
0.003125,9.77758
0.00321875,9.76679
0.0033125,9.75652
0.00340625,9.74676
0.0035,9.73745
0.00359375,9.72856
0.0036875,9.72007
0.00378125,9.71195
0.003875,9.70417
0.00396875,9.69671
0.0040625,9.68954
0.00425,9.67605
0.0044375,9.66354
0.004625,9.65192
0.0048125,9.64107
0.005,9.63094
0.00515625,9.62298
0.0053125,9.61542
0.00546875,9.60823
0.005625,9.60139
0.00578125,9.59487
0.0059375,9.58864
0.00609375,9.58269
0.00625,9.57699
0.00640625,9.57153
0.0065625,9.56629
0.00671875,9.56126
0.006875,9.55642
0.0071875,9.54729
0.0075,9.53881
0.0078125,9.5309
0.008125,9.52352
0.0084375,9.5166
0.00875,9.5101
0.0090625,9.50397
0.009375,9.4982
0.0096875,9.49274
0.01,9.48756
0.0103125,9.48265
0.010625,9.47799
0.0109375,9.47355
0.01125,9.46931
0.0115625,9.46527
0.011875,9.46141
0.0121875,9.45771
0.0125,9.45417
0.0128125,9.45077
0.013125,9.44751
0.0134375,9.44437
0.01375,9.44136
0.014375,9.43565
0.015,9.43035
0.015625,9.42539
0.01625,9.42075
0.016875,9.4164
0.0175,9.41231
0.018125,9.40845
0.01875,9.4048
0.019375,9.40135
0.02,9.39807
0.0206625,9.39478
0.021325,9.39165
0.0219875,9.38868
0.02265,9.38586
0.0233125,9.38316
0.023975,9.38059
0.0246375,9.37814
0.0253,9.37578
0.0264578,9.3719
0.0276156,9.36829
0.0287734,9.36491
0.0299312,9.36175
0.0310891,9.35878
0.0322469,9.35599
0.0334047,9.35335
0.0345625,9.35086
0.0355273,9.34888
0.0364922,9.34699
0.037457,9.34518
0.0384219,9.34344
0.0393867,9.34177
0.0403516,9.34016
0.0413164,9.33861
0.0422812,9.33712
0.0442109,9.3343
0.0461406,9.33167
0.0480703,9.32921
0.05,9.32691
0.0515625,9.32514
0.053125,9.32346
0.0546875,9.32186
0.05625,9.32032
0.0578125,9.31886
0.059375,9.31745
0.0609375,9.3161
0.0625,9.31481
0.0640625,9.31357
0.065625,9.31237
0.0671875,9.31122
0.06875,9.31011
0.071875,9.30801
0.075,9.30605
0.078125,9.30421
0.08125,9.30249
0.084375,9.30086
0.0875,9.29933
0.090625,9.29788
0.09375,9.29651
0.096875,9.29521
0.1,9.29398
0.103125,9.2928
0.10625,9.29168
0.109375,9.29061
0.1125,9.28958
0.115625,9.2886
0.11875,9.28766
0.121875,9.28676
0.125,9.2859
0.128125,9.28506
0.13125,9.28426
0.134375,9.28349
0.1375,9.28275
0.14375,9.28134
0.15,9.28002
0.15625,9.27878
0.1625,9.27762
0.16875,9.27652
0.175,9.27549
0.18125,9.27451
0.1875,9.27359
0.19375,9.27271
0.2,9.27188
0.209375,9.2707
0.21875,9.26959
0.228125,9.26856
0.2375,9.2676
0.246875,9.26669
0.25625,9.26583
0.265625,9.26502
0.275,9.26425
0.284375,9.26352
0.29375,9.26283
0.303125,9.26217
0.3125,9.26154
0.321875,9.26095
0.33125,9.26037
0.340625,9.25982
0.35,9.2593
0.359375,9.25879
0.36875,9.25831
0.378125,9.25784
0.3875,9.25739
0.396875,9.25696
0.40625,9.25655
0.425,9.25576
0.44375,9.25502
0.4625,9.25432
0.5,9.25306
0.53125,9.25212
0.5625,9.25125
0.59375,9.25045
0.625,9.24972
0.6875,9.2484
0.75,9.24726
0.8125,9.24625
0.875,9.24536
0.9375,9.24456
1,9.24383
1.0625,9.24317
1.125,9.24256
1.1875,9.242
1.25,9.24149
1.375,9.24057
1.5,9.23977
1.625,9.23905
1.75,9.23842
1.875,9.23785
2,9.23734
2.1875,9.23664
2.375,9.23603
2.5625,9.23549
2.75,9.235
2.9375,9.23456
3.125,9.23416
3.3125,9.23378
3.5,9.23344
3.875,9.23283
4.25,9.23229
4.625,9.23181
5,9.23139
5.3125,9.23107
5.625,9.23077
5.9375,9.23049
6.25,9.23023
6.875,9.22975
7.5,9.22933
8.125,9.22895
8.75,9.2286
9.375,9.22828
10,9.22798
10.625,9.2277
11.25,9.22744
11.875,9.22719
12.5,9.22696
13.75,9.22652
15,9.22612
16.25,9.22576
17.5,9.22541
18.75,9.22509
20,9.22478
21.3398,9.22447
22.6797,9.22418
24.0195,9.2239
25.3594,9.22363
26.6992,9.22338
28.0391,9.22314
29.3789,9.22292
30.7187,9.22273
31.5322,9.22262
32.3457,9.22252
33.1592,9.22244
33.9727,9.22238
34.7861,9.22235
35.1929,9.22234
35.5996,9.22234
36.0064,9.22236
36.4131,9.22239
36.8198,9.22243
37.2266,9.2225
37.6094,9.22259
37.9922,9.2227
38.375,9.22285
38.7578,9.22305
39.1406,9.2233
39.3321,9.22345
39.5234,9.22363
39.7149,9.22383
39.9063,9.22406
40.0977,9.22432
40.2891,9.22463
40.4924,9.22501
