E_eV,Sig_b
1e-05,67.3177
1.03125e-05,66.2949
1.0625e-05,65.3177
1.09375e-05,64.3826
1.125e-05,63.4869
1.15625e-05,62.6279
1.1875e-05,61.803
1.21875e-05,61.0101
1.25e-05,60.2472
1.28125e-05,59.5124
1.3125e-05,58.8041
1.34375e-05,58.1207
1.375e-05,57.4607
1.4375e-05,56.2062
1.5e-05,55.0311
1.5625e-05,53.9273
1.625e-05,52.8881
1.6875e-05,51.9072
1.75e-05,50.9796
1.8125e-05,50.1004
1.875e-05,49.2657
1.9375e-05,48.4719
2e-05,47.7157
2.09375e-05,46.6457
2.1875e-05,45.6455
2.28125e-05,44.7078
2.375e-05,43.8263
2.46875e-05,42.9958
2.5625e-05,42.2114
2.65625e-05,41.4691
2.75e-05,40.7653
2.84375e-05,40.0967
2.9375e-05,39.4605
3.03125e-05,38.8542
3.125e-05,38.2755
3.21875e-05,37.7224
3.3125e-05,37.1931
3.40625e-05,36.6859
3.5e-05,36.1993
3.59375e-05,35.732
3.6875e-05,35.2827
3.78125e-05,34.8503
3.875e-05,34.4338
3.96875e-05,34.0322
4.0625e-05,33.6448
4.25e-05,32.9088
4.4375e-05,32.2204
4.625e-05,31.5745
4.8125e-05,30.967
5e-05,30.3943
5.15625e-05,29.9412
5.3125e-05,29.5085
5.46875e-05,29.0946
5.625e-05,28.6981
5.78125e-05,28.3181
5.9375e-05,27.9532
6.09375e-05,27.6026
6.25e-05,27.2654
6.40625e-05,26.9406
6.5625e-05,26.6277
6.71875e-05,26.3258
6.875e-05,26.0344
7.1875e-05,25.4807
7.5e-05,24.9623
7.8125e-05,24.4757
8.125e-05,24.0178
8.4375e-05,23.5858
8.75e-05,23.1775
9.0625e-05,22.7907
9.375e-05,22.4238
9.6875e-05,22.0749
0.0001,21.7428
0.000103125,21.4261
0.00010625,21.1237
0.000109375,20.8345
0.0001125,20.5577
0.000115625,20.2924
0.00011875,20.0377
0.000121875,19.7931
0.000125,19.5579
0.000128125,19.3315
0.00013125,19.1134
0.000134375,18.903
0.0001375,18.7
0.00014375,18.3145
0.00015,17.9538
0.00015625,17.6154
0.0001625,17.2971
0.00016875,16.9971
0.000175,16.7136
0.00018125,16.4453
0.0001875,16.1908
0.00019375,15.9491
0.0002,15.7191
0.000209375,15.3941
0.00021875,15.0907
0.000228125,14.8068
0.0002375,14.5404
0.000246875,14.2897
0.00025625,14.0534
0.000265625,13.8301
0.000275,13.6186
0.000284375,13.4181
0.00029375,13.2276
0.000303125,13.0462
0.0003125,12.8735
0.000321875,12.7085
0.00033125,12.551
0.000340625,12.4002
0.00035,12.2557
0.000359375,12.1172
0.00036875,11.9842
0.000378125,11.8563
0.0003875,11.7334
0.000396875,11.615
0.00040625,11.5009
0.000425,11.2846
0.00044375,11.0829
0.0004625,10.894
0.00048125,10.7169
0.0005,10.5503
0.000515625,10.4188
0.00053125,10.2934
0.000546875,10.1737
0.0005625,10.0593
0.000578125,9.94984
0.00059375,9.84494
0.000609375,9.74432
0.000625,9.6477
0.000640625,9.55483
0.00065625,9.46548
0.000671875,9.37945
0.0006875,9.29654
0.00071875,9.13936
0.00075,8.99268
0.00078125,8.85541
0.0008125,8.72661
0.00084375,8.60546
0.000875,8.49127
0.00090625,8.38339
0.0009375,8.2813
0.00096875,8.18449
0.001,8.09255
0.00103125,8.00508
0.0010625,7.92175
0.00109375,7.84225
0.001125,7.7663
0.00115625,7.69365
0.0011875,7.62407
0.00121875,7.55736
0.00125,7.49334
0.00128125,7.43182
0.0013125,7.37265
0.00134375,7.3157
0.001375,7.26083
0.0014375,7.15685
0.0015,7.05986
0.0015625,6.96913
0.001625,6.88402
0.0016875,6.80399
0.00175,6.72855
0.0018125,6.6573
0.001875,6.58987
0.0019375,6.52594
0.002,6.46521
